amendment_indicator,amendment_indicator_desc,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_party,category_code,category_code_full,comm_dt,name,committee_id,committee_type,designation,designation_full,party,party_full,state,city,cycle,is_active,organization_type,organization_type_full,treasurer_name,affiliated_committee_name,filing_frequency,expenditure_amount,expenditure_date,expenditure_description,dissemination_date,support_oppose_indicator,election_type,election_type_full,fec_election_type_desc,fec_election_year,entity_type,entity_type_desc,payee_first_name,payee_last_name,payee_middle_name,payee_city,payee_occupation,file_number,filing_form,image_number,line_number,link_id,memo_code,memo_code_full,memo_text,memoed_subtotal,original_sub_id,pdf_url,report_type,report_year,schedule_type,schedule_type_full,sub_id,transaction_id,conduit_committee_id,conduit_committee_name,conduit_committee_city,conduit_committee_state
N,,,ERIC,H6CA04222,JONES,,"JONES, ERIC",H,,04,CA,DEM,004,Advertising Expenses ,,NEW LEADERSHIP NOW,C00900993,O,U,Unauthorized,,,CA,SAN FRANCISCO,2026,True,,,"ALVAREZ, MATTHEW",NONE,Q,6918.0,2026-05-13,DIGITAL ADS,2026-05-13,S,P2026,,,,,,,,,NEW YORK,,1974963,F24,202605149866965653,24,4051420261510326046,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866965653,48,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401108,WFT2026414743-1,C00900993,,,
N,,,JARED,S6AL00443,HUDSON,,"HUDSON, JARED",S,,00,AL,REP,,,,ALABAMA CONSERVATIVES,C00906685,O,U,Unauthorized,,,AL,BIRMINGHAM,2026,True,,,"SMITH, BRIAN",NONE,Q,97500.0,2026-05-13,MEDIA PLACEMENT / RADIO PRODUCTION / RADIO PLACEMENT,2026-05-13,S,P2026,,,,,,,,,ARLINGTON,,1974951,F24,202605149866965543,24,4051420261510326042,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866965543,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401099,SE24.32019,,,,
N,,,JOHN SEN,S2TX00106,CORNYN,,"CORNYN, JOHN SEN",S,,00,TX,REP,004,Advertising Expenses ,,ASSOCIATION OF TEXAS CONSERVATIVES,C00946012,O,U,Unauthorized,,,TX,HOUSTON,2026,True,,,"WILLIAMSON, LES",NONE,Q,110157.37,2026-05-13,"MAIL PRINTING, PRODUCTION, & POSTAGE",2026-05-19,S,R2026,RUNOFF,,,,,,,,LEANDER,,1974938,F24,202605149866965287,24,4051420261510326040,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866965287,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401092,SE.4133,C00946012,,,
N,,,BOB,H6PA07188,BROOKS,,"BROOKS, BOB",H,,07,PA,DEM,,,,STRONGER TOGETHER PA,C00936153,O,U,Unauthorized,,,DC,WASHINGTON,2026,True,,,"KOOB, CHRISTOPHER",NONE,Q,21000.0,2026-05-13,TEXTING (ESTIMATE),2026-05-14,S,P2026,,,,,,,,,PHILADELPHIA,,1974924,F24,202605149866965076,24,4051420261510326039,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866965076,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401091,SE.4309,C00936153,,,
N,,,BOB,H6PA07188,BROOKS,,"BROOKS, BOB",H,,07,PA,DEM,,,,STRONGER TOGETHER PA,C00936153,O,U,Unauthorized,,,DC,WASHINGTON,2026,True,,,"KOOB, CHRISTOPHER",NONE,Q,4000.0,2026-05-13,AD BUY (ESTIMATE),2026-05-14,S,P2026,,,,,,,,,PHILADELPHIA,,1974924,F24,202605149866965075,24,4051420261510326039,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866965075,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401090,SE.4308,C00936153,,,
N,,,BOB,H6PA07188,BROOKS,,"BROOKS, BOB",H,,07,PA,DEM,,,,STRONGER TOGETHER PA,C00936153,O,U,Unauthorized,,,DC,WASHINGTON,2026,True,,,"KOOB, CHRISTOPHER",NONE,Q,175000.0,2026-05-13,AD BUY (ESTIMATE),2026-05-14,S,P2026,,,,,,,,,PHILADELPHIA,,1974924,F24,202605149866965075,24,4051420261510326039,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866965075,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401089,SE.4307,C00936153,,,
N,,,REILLY,S6MT00238,NEILL,,"NEILL, REILLY",S,,00,MT,DEM,,,,"MORE JOBS, LESS GOVERNMENT",C00693838,W,U,Unauthorized,,,MA,BEVERLY,2026,True,,,"GANTT, CHARLES",DAINES SENATE MAJORITY FUND,Q,45800.62,2026-05-13,DIRECT MAIL: PRINTING AND POSTAGE,2026-05-13,O,P2026,,,,,,,,,BILLINGS,,1974889,F24,202605149866963950,24,4051420261510326034,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866963950,48,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401081,SE.7743,C00693838,,,
N,,,ED,H6KY04171,GALLREIN,,"GALLREIN, ED",H,,04,KY,REP,,,,MAGA KY,C00908723,O,U,Unauthorized,,,MA,BEVERLY,2026,True,,,"GANTT, CHARLES",NONE,Q,37537.5,2026-05-13,DIGITAL ADVERTISING,2026-05-14,S,P2026,,,,,,,,,ARLINGTON,,1974886,F24,202605149866963942,24,4051420261510326033,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866963942,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401079,SE.4308,C00908723,,,
N,,,THOMAS H.,H2KY04121,MASSIE,,"MASSIE, THOMAS H.",H,,04,KY,REP,,,,MAGA KY,C00908723,O,U,Unauthorized,,,MA,BEVERLY,2026,True,,,"GANTT, CHARLES",NONE,Q,37537.5,2026-05-13,DIGITAL ADVERTISING,2026-05-14,O,P2026,,,,,,,,,ARLINGTON,,1974886,F24,202605149866963942,24,4051420261510326033,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866963942,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401078,SE.4307,C00908723,,,
N,,,SHARIF,H6PA03195,STREET,,"STREET, SHARIF",H,,03,PA,DEM,006,Campaign Materials,,PHILLY FIRST SUPER PAC,C00947028,O,U,Unauthorized,,,PA,PHILADELPHIA,2026,True,,,"BOYER, RYAN N. JR.",NONE,Q,10000.0,2026-05-13,POLITICAL STRATEGY CONSULTANT,,S,P2026,,,,,,,,,GLENSIDE,,1974854,F24,202605149866963560,24,4051420261510326030,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866963560,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401075,SE.4173,C00947028,,,
